"Table with row headers in column A, and column headers in rows 5 through 6.",,,,,,,,,
STATE,Age,Total population,Total citizen population,Total registered,"Percent registered
(Total)","Percent registered
(Citizen)",Total voted,"Percent voted
(Total)","Percent voted
(Citizen)"
HAWAII,45 to 64,332,311,244,73.5,78.3,230,69.4,73.9
HAWAII,65+,278,263,185,66.5,70.2,175,63.2,66.6
IDAHO,Total,"1,370","1,299",900,65.7,69.3,843,61.6,64.9
IDAHO,18 to 24,182,177,102,55.8,57.6,95,52.1,53.9
IDAHO,25 to 34,253,235,151,59.8,64.5,140,55.4,59.7
IDAHO,35 to 44,203,185,132,65.0,71.3,123,60.4,66.2
IDAHO,45 to 64,418,398,278,66.6,69.9,262,62.7,65.8
IDAHO,65+,313,304,237,75.7,77.9,223,71.3,73.4
ILLINOIS,Total,"9,658","8,860","6,590",68.2,74.4,"6,058",62.7,68.4
ILLINOIS,18 to 24,"1,135","1,060",664,58.5,62.7,583,51.4,55.0
ILLINOIS,25 to 34,"1,703","1,525","1,010",59.3,66.2,892,52.4,58.5
ILLINOIS,35 to 44,"1,598","1,418","1,069",66.9,75.4,985,61.7,69.5
ILLINOIS,45 to 64,"3,196","2,937","2,310",72.3,78.7,"2,153",67.4,73.3
ILLINOIS,65+,"2,027","1,920","1,537",75.8,80.0,"1,444",71.2,75.2
INDIANA,Total,"5,096","4,921","3,412",67.0,69.3,"3,002",58.9,61.0
INDIANA,18 to 24,587,571,276,47.0,48.3,221,37.7,38.8
INDIANA,25 to 34,799,760,493,61.7,64.8,401,50.2,52.8
INDIANA,35 to 44,946,888,611,64.5,68.8,515,54.4,58.0
INDIANA,45 to 64,"1,642","1,609","1,155",70.3,71.8,"1,045",63.6,64.9
INDIANA,65+,"1,121","1,092",878,78.3,80.4,820,73.2,75.1
IOWA,Total,"2,361","2,293","1,742",73.8,76.0,"1,618",68.5,70.5
IOWA,18 to 24,260,248,169,65.2,68.3,157,60.5,63.3
IOWA,25 to 34,377,356,248,65.7,69.5,223,59.2,62.7
IOWA,35 to 44,412,395,307,74.5,77.8,276,66.8,69.8
IOWA,45 to 64,722,707,545,75.4,77.0,511,70.7,72.3
IOWA,65+,590,587,473,80.2,80.5,451,76.5,76.8
KANSAS,Total,"2,157","1,975","1,398",64.8,70.8,"1,297",60.1,65.7
KANSAS,18 to 24,264,240,149,56.5,62.3,128,48.4,53.4
KANSAS,25 to 34,392,331,210,53.5,63.5,191,48.7,57.8
KANSAS,35 to 44,343,304,221,64.4,72.6,204,59.4,67.0
KANSAS,45 to 64,659,607,424,64.4,69.9,392,59.5,64.6
KANSAS,65+,499,493,394,78.9,79.9,382,76.5,77.5
KENTUCKY,Total,"3,384","3,227","2,450",72.4,75.9,"2,210",65.3,68.5
KENTUCKY,18 to 24,281,265,172,61.3,65.2,157,55.8,59.3
KENTUCKY,25 to 34,570,498,330,57.8,66.2,271,47.4,54.3
KENTUCKY,35 to 44,640,606,479,74.8,79.0,439,68.6,72.5
KENTUCKY,45 to 64,"1,141","1,111",874,76.6,78.7,787,68.9,70.8
KENTUCKY,65+,751,748,595,79.2,79.5,557,74.1,74.4
LOUISIANA,Total,"3,438","3,299","2,286",66.5,69.3,"2,041",59.4,61.9
LOUISIANA,18 to 24,389,370,207,53.1,55.9,173,44.5,46.9
LOUISIANA,25 to 34,598,563,358,59.8,63.6,290,48.5,51.5
LOUISIANA,35 to 44,587,563,391,66.7,69.5,356,60.7,63.2
LOUISIANA,45 to 64,"1,089","1,043",744,68.3,71.3,688,63.1,65.9
LOUISIANA,65+,775,760,586,75.7,77.1,535,69.0,70.4
MAINE,Total,"1,087","1,075",832,76.5,77.4,766,70.5,71.3
MAINE,18 to 24,93,90,60,64.6,66.4,57,61.4,63.1
MAINE,25 to 34,158,157,116,73.3,74.1,102,64.3,65.0
MAINE,35 to 44,170,170,136,79.8,79.8,120,70.8,70.8
MAINE,45 to 64,367,361,285,77.7,78.8,263,71.7,72.7
MAINE,65+,300,296,236,78.6,79.5,224,74.9,75.7
MARYLAND,Total,"4,606","4,303","3,383",73.4,78.6,"3,166",68.7,73.6
MARYLAND,18 to 24,573,530,413,72.0,77.8,375,65.4,70.7
MARYLAND,25 to 34,754,684,517,68.6,75.6,460,61.0,67.3
MARYLAND,35 to 44,726,655,534,73.5,81.5,498,68.6,76.0
MARYLAND,45 to 64,"1,542","1,447","1,125",72.9,77.7,"1,080",70.0,74.6
MARYLAND,65+,"1,010",986,794,78.6,80.5,753,74.5,76.4
MASSACHUSETTS,Total,"5,514","4,897","3,546",64.3,72.4,"3,249",58.9,66.3
